Année	Date du printemps	Date de l'été	Date de l'automne	Date de l'hiver
1970	samedi 21 mars 1970	dimanche 21 juin 1970	mercredi 23 septembre 1970	mardi 22 décembre 1970
1971	dimanche 21 mars 1971	mardi 22 juin 1971	jeudi 23 septembre 1971	mercredi 22 décembre 1971
1972	lundi 20 mars 1972	mercredi 21 juin 1972	vendredi 22 septembre 1972	jeudi 21 décembre 1972
1973	mardi 20 mars 1973	jeudi 21 juin 1973	dimanche 23 septembre 1973	samedi 22 décembre 1973
1974	jeudi 21 mars 1974	vendredi 21 juin 1974	lundi 23 septembre 1974	dimanche 22 décembre 1974
1975	vendredi 21 mars 1975	dimanche 22 juin 1975	mardi 23 septembre 1975	lundi 22 décembre 1975
1976	samedi 20 mars 1976	lundi 21 juin 1976	mercredi 22 septembre 1976	mardi 21 décembre 1976
1977	dimanche 20 mars 1977	mardi 21 juin 1977	vendredi 23 septembre 1977	jeudi 22 décembre 1977
1978	mardi 21 mars 1978	mercredi 21 juin 1978	samedi 23 septembre 1978	vendredi 22 décembre 1978
1979	mercredi 21 mars 1979	vendredi 22 juin 1979	dimanche 23 septembre 1979	samedi 22 décembre 1979
1980	jeudi 20 mars 1980	samedi 21 juin 1980	lundi 22 septembre 1980	dimanche 21 décembre 1980
1981	vendredi 20 mars 1981	dimanche 21 juin 1981	mercredi 23 septembre 1981	lundi 21 décembre 1981
1982	samedi 20 mars 1982	lundi 21 juin 1982	jeudi 23 septembre 1982	mercredi 22 décembre 1982
1983	lundi 21 mars 1983	mercredi 22 juin 1983	vendredi 23 septembre 1983	jeudi 22 décembre 1983
1984	mardi 20 mars 1984	jeudi 21 juin 1984	samedi 22 septembre 1984	vendredi 21 décembre 1984
1985	mercredi 20 mars 1985	vendredi 21 juin 1985	lundi 23 septembre 1985	samedi 21 décembre 1985
1986	jeudi 20 mars 1986	samedi 21 juin 1986	mardi 23 septembre 1986	lundi 22 décembre 1986
1987	samedi 21 mars 1987	lundi 22 juin 1987	mercredi 23 septembre 1987	mardi 22 décembre 1987
